sentence_col1,sentence_col2,n_raters,mean_rating,std_dev,mean_abs_dev,difficulties,raters,pct_exact_match_with_mode,verb,verb_en,verb_casual,frame_en,frame_en_id,sent_mt_pval,verb_mt_pval
wo kal read kar chuke the,wo kal padh chuke the,6,4.333,2.805,2.333,"[1, 7, 7, 1, 4, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पढ,read,padh,wo kal X kar chuke the,2,0.63538,0.0003
speed karna mana hona chahiye,bhagana mana hona chahiye,6,3.667,2.658,2.333,"[1, 5, 7, 6, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भगा,speed,bhaga,X karna mana hona chahiye,3,0.9566,0.00054
collect karna aasan hai,lena aasan hai,6,3.833,2.639,2.167,"[1, 4, 7, 2, 7, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,ले,collect,le,X karna aasan hai,1,0.63538,0.40744
study karna mana hona chahiye,padhna mana hona chahiye,6,4.333,2.582,2.222,"[1, 6, 6, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",66.7,पढ,study,padh,X karna mana hona chahiye,3,0.00792,0.0005
rub karna mana hona chahiye,mitana mana hona chahiye,6,4.667,2.582,2.111,"[7, 5, 7, 2, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,मिटा,rub,mita,X karna mana hona chahiye,3,0.9566,0.00172
wo aaram se pierce karte rahenge,wo aaram se bhedte rahenge,6,3.667,2.503,2.0,"[1, 3, 4, 1, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,भेद,pierce,bhed,wo aaram se X karte rahenge,4,0.9566,0.78412
wo kal collect kar chuke the,wo kal le chuke the,5,3.8,2.49,2.16,"[2, 2, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",60.0,ले,collect,le,wo kal X kar chuke the,2,0.1628,0.40744
ring karna aasan hai,bajana aasan hai,6,3.833,2.483,1.889,"[1, 6, 4, 1, 7, 4]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,बजा,ring,baja,X karna aasan hai,1,0.63538,0.00422
wo string kar rahe hain,wo piro rahe hain,6,3.167,2.483,2.167,"[1, 1, 6, 4, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,पिरो,string,piro,wo X kar rahe hain,0,0.14746,0.23084
string karna mana hona chahiye,pirona mana hona chahiye,6,4.167,2.483,2.167,"[1, 3, 6, 2, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,पिरो,string,piro,X karna mana hona chahiye,3,0.9566,0.23084
imagine karna aasan hai,sochna aasan hai,6,4.0,2.449,2.0,"[1, 6, 4, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,सोच,imagine,soch,X karna aasan hai,1,0.14746,0.00098
panic karna aasan hai,ghabrana aasan hai,8,3.75,2.435,2.0,"[1, 5, 1, 3, 2, 4, 7, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,घबड़ा,panic,ghabra,X karna aasan hai,1,0.9769,0.35652
wo ring kar rahe hain,wo baja rahe hain,8,4.25,2.375,1.812,"[7, 4, 1, 6, 7, 4, 1, 4]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",37.5,बजा,ring,baja,wo X kar rahe hain,0,0.29634,0.00422
wo aaram se create karte rahenge,wo aaram se banate rahenge,6,5.667,2.338,1.556,"[1, 7, 7, 6, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,बना,create,bana,wo aaram se X karte rahenge,4,0.14746,2e-05
wo boil kar rahe hain,wo khaula rahe hain,6,2.333,2.338,1.556,"[1, 2, 7, 1, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,खौला,boil,khaula,wo X kar rahe hain,0,0.14746,0.00026
ring karna mana hona chahiye,bajana mana hona chahiye,8,4.0,2.33,2.0,"[6, 4, 1, 6, 6, 2, 1, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",50.0,बजा,ring,baja,X karna mana hona chahiye,3,0.10454,0.00422
wo create kar rahe hain,wo bana rahe hain,6,5.167,2.317,1.778,"[1, 7, 6, 4, 7, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,बना,create,bana,wo X kar rahe hain,0,0.63538,2e-05
wo crack kar rahe hain,wo foot rahe hain,6,4.167,2.317,1.833,"[7, 5, 1, 4, 2, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",16.7,फूट,crack,foot,wo X kar rahe hain,0,1.0,0.24424
wo kal crack kar chuke the,wo kal foot chuke the,8,3.875,2.295,1.906,"[2, 5, 7, 5, 6, 4, 1, 1]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,फूट,crack,foot,wo kal X kar chuke the,2,0.9769,0.24424
touch karna mana hona chahiye,choona mana hona chahiye,8,4.125,2.295,1.656,"[4, 4, 1, 5, 7, 4, 1, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",37.5,छू,touch,choo,X karna mana hona chahiye,3,0.29634,0.1233
pierce karna aasan hai,bhedna aasan hai,8,4.0,2.268,2.0,"[2, 2, 7, 3, 1, 6, 5, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,भेद,pierce,bhed,X karna aasan hai,1,0.9769,0.78412
collect karna mana hona chahiye,lena mana hona chahiye,8,4.375,2.264,1.781,"[6, 5, 1, 5, 6, 4, 1, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,ले,collect,le,X karna mana hona chahiye,3,0.74086,0.40744
wo aaram se string karte rahenge,wo aaram se pirote rahenge,8,3.75,2.252,1.938,"[2, 3, 7, 5, 2, 2, 2, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",50.0,पिरो,string,piro,wo aaram se X karte rahenge,4,0.10454,0.23084
wo aaram se crack karte rahenge,wo aaram se footte rahenge,8,4.5,2.204,1.75,"[4, 5, 2, 6, 7, 1, 7, 4]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,फूट,crack,foot,wo aaram se X karte rahenge,4,0.9769,0.24424
create karna aasan hai,banana aasan hai,8,5.375,2.2,1.781,"[4, 7, 7, 7, 7, 4, 1, 6]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",50.0,बना,create,bana,X karna aasan hai,1,0.10454,2e-05
wo seduce kar rahe hain,wo lubha rahe hain,6,3.0,2.191,1.667,"[4, 2, 7, 2, 1, 2]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,लुभा,seduce,lubha,wo X kar rahe hain,0,0.31384,0.08082
read karna mana hona chahiye,padhna mana hona chahiye,8,5.75,2.188,1.625,"[7, 7, 4, 7, 7, 6, 1, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",62.5,पढ,read,padh,X karna mana hona chahiye,3,0.02656,0.0003
wo kal touch kar chuke the,wo kal choo chuke the,6,3.167,2.137,1.833,"[1, 5, 4, 1, 2, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",33.3,छू,touch,choo,wo kal X kar chuke the,2,0.9566,0.1233
wo kal move kar chuke the,wo kal chal chuke the,6,4.167,2.137,1.833,"[1, 3, 6, 3, 6, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,चल्,move,chal,wo kal X kar chuke the,2,0.14746,0.0138
rub karna aasan hai,mitana aasan hai,6,5.167,2.137,1.444,"[5, 6, 7, 6, 1, 6]","['s.406f0f9c-40d6-4037-ab36-d9ca831d0c7e.txt', 's.6e707c44-3689-475a-9844-ba5f97e04291.txt', 's.9c69cad2-2c39-483c-8a6a-7a026189066c.txt', 's.f906f239-0dd1-45b8-a4c0-78392435fb3c.txt', 's.fbc77057-b007-4e28-bbbd-d5b476b444fa.txt', 's.ffa0172a-58f2-49bf-8490-dcc31f314310.txt']",50.0,मिटा,rub,mita,X karna aasan hai,1,0.31384,0.00172
wo change kar rahe hain,wo badal rahe hain,8,4.625,2.134,1.719,"[4, 5, 6, 6, 2, 6, 1, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",37.5,बदल,change,badal,wo X kar rahe hain,0,0.78996,0.16124
dare karna aasan hai,lalkaarna aasan hai,8,3.25,2.121,1.75,"[4, 5, 1, 4, 2, 7, 1, 2]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,ललकार,dare,lalkaar,X karna aasan hai,1,0.74086,0.33138
wo knock kar rahe hain,wo khatkhata rahe hain,8,4.125,2.1,1.656,"[4, 3, 1, 6, 2, 4, 6, 7]","['s.0716579a-cc45-4ca1-9021-fd2959db6ada.txt', 's.42fe05db-1e3d-477e-9140-317d4e336f5b.txt', 's.82383061-e8b6-4b44-8e30-47dce81774d2.txt', 's.bf75cd3d-0fe9-42b4-8a2d-68587dfe709b.txt', 's.c1b9bafc-1ccb-426b-9de9-345e4a0accd7.txt', 's.d17a8cad-6ae4-4768-831d-fd0a23931e15.txt', 's.f71f6749-2ba6-44ac-84af-1d77f2b3f538.txt', 's.ffcc8a9d-0806-426c-a0cc-1b67f5a90e2a.txt']",25.0,खटखटा,knock,khatkhata,wo X kar rahe hain,0,0.9769,0.31882
